x,y
-0.0,-0.0
52.5022,0.1582
53.3744,0.2684
54.2258,0.487
55.0431,0.8106
55.8135,1.2341
56.5247,1.7508
57.1655,2.3525
57.7258,3.0299
58.1968,3.7721
58.5711,4.5675
58.8428,5.4035
59.0075,6.267
59.0627,7.1444
59.139,10.8952
59.2179,12.1485
59.4532,13.3821
59.8412,14.5764
60.3759,15.7127
61.0488,16.773
61.8493,17.7406
62.7648,18.6003
63.7808,19.3385
64.8812,19.9434
66.0489,20.4057
67.2652,20.718
68.5111,20.8754
100.8304,21.2613
141.7045,21.3399
142.9504,21.4973
144.1667,21.8096
145.3344,22.2719
146.4348,22.8769
147.4508,23.615
148.3662,24.4747
149.1667,25.4423
149.8396,26.5026
150.3743,27.6389
150.7624,28.8333
150.9977,30.0668
151.0766,31.3202
150.9977,32.5735
150.7624,33.8071
150.3743,35.0014
149.8396,36.1377
149.1667,37.198
148.3662,38.1656
147.4508,39.0253
146.4348,39.7634
145.3344,40.3684
144.1667,40.8307
142.9504,41.143
141.7045,41.3004
91.3788,41.3238
74.4515,41.4404
73.2351,41.7527
72.0675,42.215
70.967,42.82
69.951,43.5582
69.0356,44.4178
68.2351,45.3854
67.5622,46.4457
67.0275,47.582
66.6395,48.7764
66.4041,50.01
66.3253,51.2633
66.4041,52.5166
66.6395,53.7502
67.0275,54.9445
67.5622,56.0808
68.2351,57.1411
69.0356,58.1088
69.951,58.9684
70.967,59.7066
72.0675,60.3116
73.2351,60.7739
74.4515,61.0862
75.6974,61.2435
85.3208,61.4727
140.9749,61.4635
142.2208,61.6209
143.4372,61.9332
144.6048,62.3955
145.7053,63.0005
146.7213,63.7386
147.6367,64.5983
148.4372,65.5659
149.1101,66.6262
149.6448,67.7625
150.0329,68.9568
150.2682,70.1904
150.347,71.4437
150.2969,74.265
150.0616,75.4986
149.6735,76.693
149.1389,77.8292
148.4659,78.8896
147.6655,79.8572
146.75,80.7168
145.7341,81.455
144.6336,82.06
143.4659,82.5223
142.2496,82.8346
141.0037,82.992
101.3518,82.9171
100.1059,82.7597
98.8896,82.4474
97.722,81.9851
96.6215,81.3801
95.6055,80.642
94.6901,79.7823
93.8896,78.8147
93.2167,77.7543
92.682,76.6181
92.2939,75.4237
92.0586,74.1902
91.9797,72.9368
91.9869,71.7274
91.9081,70.474
91.6727,69.2405
91.2847,68.0461
90.75,66.9099
90.0771,65.8495
89.2766,64.8819
88.3611,64.0222
87.3452,63.2841
86.2447,62.6791
85.0771,62.2168
83.8607,61.9045
82.6148,61.7471
68.7622,61.6298
67.5162,61.7872
66.2999,62.0995
65.1323,62.5618
64.0318,63.1667
63.0158,63.9049
62.1004,64.7646
61.2999,65.7322
60.627,66.7925
60.0923,67.9288
59.7042,69.1231
59.4689,70.3567
59.3901,71.61
59.2152,170.0889
59.294,171.3423
59.5294,172.5758
59.9174,173.7702
60.4521,174.9065
61.125,175.9668
61.9255,176.9344
62.8409,177.7941
63.8569,178.5322
64.9574,179.1372
66.125,179.5995
67.3414,179.9118
68.5873,180.0692
80.2386,179.7596
81.4845,179.6022
82.7008,179.2899
83.8685,178.8276
84.9689,178.2226
85.9849,177.4845
86.9003,176.6248
87.7008,175.6572
88.3737,174.5969
88.9084,173.4606
89.2965,172.2663
89.5318,171.0327
89.7367,168.649
89.8156,167.3957
90.0509,166.1621
90.439,164.9678
90.9737,163.8315
91.6466,162.7712
92.447,161.8035
93.3625,160.9439
94.3785,160.2057
95.4789,159.6007
96.6466,159.1384
97.8629,158.8261
137.5085,159.2616
138.7544,159.419
139.9707,159.7313
141.1384,160.1936
142.2388,160.7986
143.2548,161.5367
144.1703,162.3964
144.9707,163.364
145.6436,164.4243
146.1783,165.5606
146.5664,166.7549
146.8017,167.9885
146.9442,169.9267
146.7372,171.6872
146.5019,172.9208
146.1139,174.1151
145.5792,175.2514
144.9063,176.3118
144.1058,177.2794
143.1903,178.139
142.1744,178.8772
141.0739,179.4822
139.9063,179.9445
138.6899,180.2568
137.444,180.4142
71.2325,180.5269
70.0161,180.8392
68.8485,181.3015
67.748,181.9065
66.732,182.6446
65.8166,183.5043
65.0161,184.4719
64.3432,185.5322
63.8085,186.6685
63.4204,187.8629
63.1851,189.0964
63.0308,191.1795
63.1097,192.4328
63.345,193.6664
63.7331,194.8607
64.2678,195.997
64.9407,197.0574
65.7412,198.025
66.6566,198.8846
67.6726,199.6228
68.773,200.2278
69.9407,200.6901
71.157,201.0024
72.4029,201.1598
138.5012,201.0744
139.7378,201.2924
140.9319,201.6805
142.0605,202.2309
143.1014,202.933
144.0345,203.7732
144.8416,204.735
145.507,205.7999
146.0177,206.9469
146.3638,208.1539
146.6894,209.699
146.614,211.7844
146.3638,213.5809
146.0177,214.7879
145.507,215.935
144.8416,216.9998
144.0345,217.9617
143.1014,218.8018
142.0605,219.504
140.9319,220.0544
139.7378,220.4424
138.5012,220.6604
68.7609,221.0228
67.515,221.1802
66.2986,221.4925
65.131,221.9548
64.0305,222.5598
63.0145,223.2979
62.0991,224.1576
61.2986,225.1252
60.6257,226.1855
60.091,227.3218
59.703,228.5161
59.4676,229.7497
59.3888,231.003
59.3637,279.6581
58.6872,286.0325
58.0032,292.334
57.281,298.5755
56.4283,304.8004
55.4454,311.0061
54.1953,316.8914
53.499,319.6118
52.7656,322.6664
51.9367,325.6966
51.013,328.6992
49.9954,331.6712
48.885,334.6099
47.6828,337.5122
46.39,340.3754
45.008,343.1965
43.538,345.9728
41.9815,348.7016
40.3401,351.3801
38.6154,354.0058
36.809,356.576
34.9228,359.0881
32.9586,361.5399
30.9184,363.9286
28.8042,366.2521
26.618,368.5081
24.362,370.6943
22.0385,372.8085
19.6497,374.8488
17.198,376.8129
14.7529,378.6768
12.7641,380.1925
10.716,381.6191
8.0658,383.4165
5.4675,385.1823
2.8328,386.8933
0.1628,388.5488
-2.5412,390.1479
-5.2782,391.6902
-8.0468,393.1747
-10.8459,394.6009
-13.6743,395.9682
-16.5307,397.276
-19.4139,398.5236
-22.3225,399.7106
-25.2554,400.8365
-28.2112,401.9006
-31.1887,402.9026
-34.1864,403.8421
-37.2032,404.7185
-40.2377,405.5316
-43.2886,406.281
-46.3545,406.9663
-49.434,407.5872
-52.5259,408.1436
-55.6288,408.635
-58.7412,409.0613
-61.8619,409.4224
-64.9895,409.7181
-68.1226,409.9482
-71.3242,410.2414
-74.5447,410.3937
-77.8471,410.5339
-81.0689,410.662
-108.9534,411.8026
-113.6593,412.0493
-118.3589,412.3944
-123.0503,412.8378
-127.7314,413.3795
-132.4001,414.019
-137.0544,414.7562
-141.6922,415.5906
-146.3115,416.5221
-150.9104,417.55
-155.4866,418.6741
-160.0384,419.8937
-164.5636,421.2084
-169.0602,422.6176
-173.5264,424.1206
-177.9601,425.7168
-182.3594,427.4056
-186.7224,429.1861
-191.0472,431.0576
-195.3317,433.0192
-199.5743,435.0701
-203.773,437.2095
-207.926,439.4363
-211.3457,441.2366
-216.2276,443.7702
-220.7168,446.2504
-225.3696,448.9828
-230.0028,451.683
-234.4584,454.5661
-238.8097,457.4605
-243.2185,460.3159
-247.8657,463.4954
-251.5922,466.1848
-255.8936,469.3856
-260.6456,472.7072
-284.771,488.7303
-307.3975,502.5217
-323.6168,511.1519
-344.11,520.8853
-351.8544,524.2574
